2023-05-30 21:58:15 install libxtst6:amd64 <none> 2:1.2.3-1
2023-05-30 21:58:15 status half-installed libxtst6:amd64 2:1.2.3-1
2023-05-30 21:58:15 status unpacked libxtst6:amd64 2:1.2.3-1
2023-05-30 21:58:15 install libxv1:amd64 <none> 2:1.0.11-1
2023-05-30 21:58:15 status half-installed libxv1:amd64 2:1.0.11-1
2023-05-30 21:58:15 status unpacked libxv1:amd64 2:1.0.11-1
2023-05-30 21:58:15 install libxxf86dga1:amd64 <none> 2:1.1.5-0ubuntu1
2023-05-30 21:58:15 status half-installed libxxf86dga1:amd64 2:1.1.5-0ubuntu1
2023-05-30 21:58:15 status unpacked libxxf86dga1:amd64 2:1.1.5-0ubuntu1
2023-05-30 21:58:15 install mesa-vulkan-drivers:amd64 <none> 21.2.6-0ubuntu0.1~20.04.2
2023-05-30 21:58:15 status half-installed mesa-vulkan-drivers:amd64 21.2.6-0ubuntu0.1~20.04.2
2023-05-30 21:58:15 status unpacked mesa-vulkan-drivers:amd64 21.2.6-0ubuntu0.1~20.04.2
2023-05-30 21:58:15 install pulseaudio-utils:amd64 <none> 1:13.99.1-1ubuntu3.13
2023-05-30 21:58:15 status half-installed pulseaudio-utils:amd64 1:13.99.1-1ubuntu3.13
2023-05-30 21:58:15 status unpacked pulseaudio-utils:amd64 1:13.99.1-1ubuntu3.13
2023-05-30 21:58:15 install wslu:all <none> 2.3.6-0ubuntu2~20.04.0
2023-05-30 21:58:15 status half-installed wslu:all 2.3.6-0ubuntu2~20.04.0
2023-05-30 21:58:15 status unpacked wslu:all 2.3.6-0ubuntu2~20.04.0
2023-05-30 21:58:15 install ubuntu-wsl:amd64 <none> 1.450.2
2023-05-30 21:58:15 status half-installed ubuntu-wsl:amd64 1.450.2
2023-05-30 21:58:15 status unpacked ubuntu-wsl:amd64 1.450.2
2023-05-30 21:58:15 install update-motd:all <none> 3.6-0ubuntu6.1
2023-05-30 21:58:15 status half-installed update-motd:all 3.6-0ubuntu6.1
2023-05-30 21:58:15 status unpacked update-motd:all 3.6-0ubuntu6.1
2023-05-30 21:58:15 install libglvnd0:amd64 <none> 1.3.2-1~ubuntu0.20.04.2
2023-05-30 21:58:15 status half-installed libglvnd0:amd64 1.3.2-1~ubuntu0.20.04.2
2023-05-30 21:58:15 status unpacked libglvnd0:amd64 1.3.2-1~ubuntu0.20.04.2
2023-05-30 21:58:15 install libglx0:amd64 <none> 1.3.2-1~ubuntu0.20.04.2
2023-05-30 21:58:15 status half-installed libglx0:amd64 1.3.2-1~ubuntu0.20.04.2
2023-05-30 21:58:15 status unpacked libglx0:amd64 1.3.2-1~ubuntu0.20.04.2
2023-05-30 21:58:15 install libgl1:amd64 <none> 1.3.2-1~ubuntu0.20.04.2
2023-05-30 21:58:15 status half-installed libgl1:amd64 1.3.2-1~ubuntu0.20.04.2
2023-05-30 21:58:15 status unpacked libgl1:amd64 1.3.2-1~ubuntu0.20.04.2
2023-05-30 21:58:15 install x11-utils:amd64 <none> 7.7+5
2023-05-30 21:58:15 status half-installed x11-utils:amd64 7.7+5
2023-05-30 21:58:15 status unpacked x11-utils:amd64 7.7+5
2023-05-30 21:58:15 install show-motd:all <none> 3.6-0ubuntu6.1
2023-05-30 21:58:15 status half-installed show-motd:all 3.6-0ubuntu6.1
2023-05-30 21:58:15 status unpacked show-motd:all 3.6-0ubuntu6.1
2023-05-30 21:58:15 startup packages configure
2023-05-30 21:58:15 configure libxcb-dri3-0:amd64 1.14-2 <none>
2023-05-30 21:58:15 status unpacked libxcb-dri3-0:amd64 1.14-2
2023-05-30 21:58:15 status half-configured libxcb-dri3-0:amd64 1.14-2
2023-05-30 21:58:15 status installed libxcb-dri3-0:amd64 1.14-2
2023-05-30 21:58:15 configure libx11-xcb1:amd64 2:1.6.9-2ubuntu1.2 <none>
2023-05-30 21:58:15 status unpacked libx11-xcb1:amd64 2:1.6.9-2ubuntu1.2
2023-05-30 21:58:15 status half-configured libx11-xcb1:amd64 2:1.6.9-2ubuntu1.2
2023-05-30 21:58:15 status installed libx11-xcb1:amd64 2:1.6.9-2ubuntu1.2
2023-05-30 21:58:15 configure libpciaccess0:amd64 0.16-0ubuntu1 <none>
